noINH_DMSO_R1,count
1 , 34119
2 , 18731
3 , 9466
4 , 4597
5 , 2397
6 , 1331
7 , 853
8 , 597
9 , 395
10 , 360
11 , 304
12 , 239
13 , 228
14 , 174
15 , 150
16 , 129
17 , 114
18 , 119
19 , 91
20 , 90
21 , 73
22 , 80
23 , 65
24 , 61
25 , 67
26 , 41
27 , 51
28 , 32
29 , 39
30 , 34
31 , 28
32 , 30
33 , 23
34 , 17
35 , 15
36 , 28
37 , 21
38 , 18
39 , 6
40 , 9
41 , 12
42 , 12
43 , 11
44 , 5
45 , 13
46 , 11
47 , 7
48 , 5
49 , 7
50 , 7
51 , 3
52 , 6
53 , 5
54 , 3
55 , 3
56 , 5
57 , 7
58 , 7
59 , 4
60 , 4
61 , 6
62 , 4
63 , 2
64 , 4
65 , 4
66 , 4
67 , 3
68 , 1
69 , 3
70 , 6
71 , 7
72 , 2
73 , 3
74 , 2
75 , 2
76 , 1
77 , 1
78 , 2
81 , 1
82 , 3
84 , 1
85 , 1
88 , 4
89 , 1
90 , 2
91 , 3
92 , 1
93 , 2
94 , 1
95 , 1
97 , 1
98 , 2
99 , 3
100 , 1
101 , 2
102 , 1
104 , 3
105 , 1
106 , 3
110 , 1
111 , 4
112 , 1
113 , 2
114 , 1
115 , 1
116 , 3
117 , 3
120 , 1
123 , 1
124 , 1
125 , 1
128 , 1
130 , 1
131 , 2
133 , 1
135 , 1
145 , 2
151 , 1
153 , 2
157 , 2
161 , 1
164 , 1
165 , 1
166 , 1
168 , 1
169 , 1
172 , 1
173 , 1
175 , 1
179 , 1
180 , 1
182 , 1
183 , 1
186 , 1
187 , 4
193 , 1
194 , 1
197 , 2
198 , 1
199 , 1
206 , 1
209 , 1
212 , 1
221 , 1
225 , 1
229 , 1
231 , 1
233 , 1
238 , 1
240 , 1
241 , 1
242 , 1
243 , 1
246 , 1
247 , 1
252 , 1
261 , 1
263 , 1
271 , 1
273 , 1
278 , 1
279 , 1
282 , 1
298 , 1
306 , 1
316 , 1
321 , 1
328 , 1
330 , 1
339 , 1
342 , 1
345 , 1
349 , 1
354 , 1
358 , 1
360 , 2
374 , 1
390 , 1
404 , 2
408 , 1
410 , 1
418 , 1
419 , 1
422 , 1
442 , 2
452 , 1
461 , 1
467 , 1
469 , 1
473 , 1
477 , 1
481 , 1
494 , 1
496 , 1
497 , 1
499 , 1
528 , 1
552 , 1
563 , 1
594 , 1
595 , 1
603 , 1
606 , 1
619 , 1
635 , 1
641 , 1
689 , 1
698 , 1
753 , 1
772 , 1
779 , 1
793 , 1
897 , 1
901 , 1
921 , 1
924 , 1
1016 , 1
1021 , 1
1064 , 1
1090 , 1
1095 , 1
1097 , 1
1129 , 1
1157 , 1
1160 , 1
1179 , 1
1195 , 1
1205 , 1
1214 , 1
1262 , 1
1273 , 1
1276 , 1
1362 , 1
1383 , 1
1421 , 1
1487 , 1
1493 , 1
1500 , 1
1556 , 1
1561 , 1
1564 , 1
1610 , 1
1614 , 1
1659 , 1
1661 , 1
1672 , 1
1735 , 1
1770 , 1
1828 , 1
1859 , 1
1861 , 1
1896 , 1
1904 , 1
1945 , 1
1948 , 1
1950 , 1
1954 , 1
1970 , 1
2051 , 1
2068 , 1
2124 , 1
2133 , 1
2196 , 1
2219 , 1
2278 , 1
2393 , 1
2447 , 1
2542 , 1
2549 , 1
2638 , 1
2666 , 1
2679 , 1
2692 , 1
2710 , 1
2713 , 1
2830 , 1
2914 , 1
2997 , 1
3063 , 1
3100 , 1
3125 , 1
3141 , 1
3162 , 1
3191 , 1
3243 , 1
3244 , 1
3327 , 1
3329 , 1
3352 , 1
3391 , 1
3609 , 1
4691 , 1
4913 , 1
4992 , 1
5248 , 1
5418 , 1
5425 , 1
5716 , 1
6981 , 1
7187 , 1
7563 , 1
8086 , 1
9037 , 1
10450 , 1
11243 , 1
15508 , 1
20896 , 1
33480 , 1
42097 , 1
