sample_name,total,0-50,51-60,61-137,138-154,155-1000,indel,0-50_percent,51-60_percent,61-137_percent,138-154_percent,155-1000_percent,indel_percent
D103_10uM_R1,2129.0,1336.0,192.0,134.0,177.0,14.0,276,0.628,0.09,0.063,0.083,0.007,0.13
D103_10uM_R2,2083.0,885.0,665.0,61.0,94.0,9.0,369,0.425,0.319,0.029,0.045,0.004,0.177
No_E_R1,3870.0,26.0,2763.0,42.0,1018.0,0.0,21,0.007,0.714,0.011,0.263,0.0,0.005
No_E_R2,1592.0,40.0,938.0,30.0,554.0,0.0,30,0.025,0.589,0.019,0.348,0.0,0.019
noINH_DMSO_R1,3524.0,1565.0,1494.0,131.0,69.0,4.0,261,0.444,0.424,0.037,0.02,0.001,0.074
noINH_DMSO_R2,1960.0,1227.0,431.0,70.0,25.0,5.0,202,0.626,0.22,0.036,0.013,0.003,0.103
