sample_name,total,0-50,51-60,61-137,138-154,155-1000,indel,0-50_percent,51-60_percent,61-137_percent,138-154_percent,155-1000_percent,indel_percent
D103_10uM_R1,1052.0,603.0,83.0,62.0,102.0,11.0,191,0.573,0.079,0.059,0.097,0.01,0.182
D103_10uM_R2,1525.0,637.0,448.0,44.0,84.0,9.0,303,0.418,0.294,0.029,0.055,0.006,0.199
No_E_R1,1910.0,23.0,1258.0,11.0,603.0,0.0,15,0.012,0.659,0.006,0.316,0.0,0.008
No_E_R2,1018.0,34.0,546.0,11.0,405.0,0.0,22,0.033,0.536,0.011,0.398,0.0,0.022
noINH_DMSO_R1,1524.0,658.0,552.0,79.0,50.0,4.0,181,0.432,0.362,0.052,0.033,0.003,0.119
noINH_DMSO_R2,1083.0,628.0,223.0,50.0,19.0,4.0,159,0.58,0.206,0.046,0.018,0.004,0.147
