sample_name,total,0-50,51-60,61-137,138-154,155-1000,indel,0-50_percent,51-60_percent,61-137_percent,138-154_percent,155-1000_percent,indel_percent
D103_10uM_R1,60326.0,31692.0,5396.0,4991.0,8224.0,683.0,9340,0.525,0.089,0.083,0.136,0.011,0.155
D103_10uM_R2,55473.0,20858.0,17912.0,2174.0,3001.0,224.0,11304,0.376,0.323,0.039,0.054,0.004,0.204
No_E_R1,63700.0,866.0,40711.0,937.0,20057.0,185.0,944,0.014,0.639,0.015,0.315,0.003,0.015
No_E_R2,45624.0,1870.0,25622.0,1416.0,15580.0,163.0,973,0.041,0.562,0.031,0.341,0.004,0.021
noINH_DMSO_R1,72808.0,28252.0,28924.0,4915.0,2878.0,185.0,7654,0.388,0.397,0.068,0.04,0.003,0.105
noINH_DMSO_R2,58970.0,31171.0,14507.0,3804.0,1543.0,198.0,7747,0.529,0.246,0.065,0.026,0.003,0.131
