sample_name,total,0-50,51-60,61-137,138-154,155-1000,indel,0-50_percent,51-60_percent,61-137_percent,138-154_percent,155-1000_percent,indel_percent
D103_10uM_R1,282238.0,171473.0,24647.0,26031.0,47044.0,3703.0,9340,0.608,0.087,0.092,0.167,0.013,0.033
D103_10uM_R2,316511.0,153150.0,115295.0,14020.0,21070.0,1672.0,11304,0.484,0.364,0.044,0.067,0.005,0.036
No_E_R1,415250.0,10505.0,278037.0,4995.0,119498.0,1271.0,944,0.025,0.67,0.012,0.288,0.003,0.002
No_E_R2,344911.0,19325.0,205921.0,9930.0,107608.0,1154.0,973,0.056,0.597,0.029,0.312,0.003,0.003
noINH_DMSO_R1,358433.0,177000.0,132165.0,25250.0,15387.0,977.0,7654,0.494,0.369,0.07,0.043,0.003,0.021
noINH_DMSO_R2,401752.0,255350.0,97668.0,27373.0,12216.0,1398.0,7747,0.636,0.243,0.068,0.03,0.003,0.019
