sample_name,total,0-50,51-60,61-137,138-154,155-1000,indel,0-50_percent,51-60_percent,61-137_percent,138-154_percent,155-1000_percent,indel_percent
D103_10uM_R1,676.0,365.0,47.0,40.0,67.0,8.0,149,0.54,0.07,0.059,0.099,0.012,0.22
D103_10uM_R2,1229.0,503.0,358.0,31.0,70.0,7.0,260,0.409,0.291,0.025,0.057,0.006,0.212
No_E_R1,1199.0,15.0,723.0,2.0,447.0,0.0,12,0.013,0.603,0.002,0.373,0.0,0.01
No_E_R2,745.0,23.0,391.0,5.0,311.0,0.0,15,0.031,0.525,0.007,0.417,0.0,0.02
noINH_DMSO_R1,876.0,373.0,270.0,48.0,40.0,3.0,142,0.426,0.308,0.055,0.046,0.003,0.162
noINH_DMSO_R2,769.0,421.0,160.0,40.0,19.0,3.0,126,0.547,0.208,0.052,0.025,0.004,0.164
