sample_name,total,0-50,51-60,61-137,138-154,155-1000,indel,0-50_percent,51-60_percent,61-137_percent,138-154_percent,155-1000_percent,indel_percent
D103_10uM_R1,269.0,141.0,19.0,10.0,24.0,3.0,72,0.524,0.071,0.037,0.089,0.011,0.268
D103_10uM_R2,832.0,326.0,233.0,24.0,59.0,5.0,185,0.392,0.28,0.029,0.071,0.006,0.222
No_E_R1,650.0,5.0,364.0,0.0,270.0,0.0,11,0.008,0.56,0.0,0.415,0.0,0.017
No_E_R2,481.0,16.0,233.0,3.0,219.0,0.0,10,0.033,0.484,0.006,0.455,0.0,0.021
noINH_DMSO_R1,352.0,153.0,88.0,22.0,10.0,1.0,78,0.435,0.25,0.062,0.028,0.003,0.222
noINH_DMSO_R2,459.0,260.0,75.0,25.0,15.0,2.0,82,0.566,0.163,0.054,0.033,0.004,0.179
