No_E_R1,count
1 , 33518
2 , 16053
3 , 7202
4 , 3358
5 , 1726
6 , 976
7 , 579
8 , 392
9 , 280
10 , 242
11 , 155
12 , 128
13 , 124
14 , 104
15 , 90
16 , 80
17 , 49
18 , 52
19 , 44
20 , 45
21 , 28
22 , 27
23 , 25
24 , 24
25 , 26
26 , 10
27 , 18
28 , 11
29 , 16
30 , 15
31 , 12
32 , 13
33 , 10
34 , 9
35 , 7
36 , 7
37 , 8
38 , 11
39 , 10
40 , 8
41 , 7
42 , 6
43 , 8
44 , 6
45 , 2
46 , 6
47 , 4
48 , 4
49 , 4
50 , 1
51 , 3
52 , 9
53 , 5
54 , 3
55 , 5
56 , 1
57 , 3
58 , 5
59 , 4
61 , 2
62 , 1
63 , 3
64 , 4
65 , 2
66 , 5
67 , 2
68 , 2
69 , 4
70 , 4
71 , 3
73 , 2
74 , 3
77 , 1
78 , 2
79 , 1
80 , 2
82 , 1
84 , 3
85 , 1
86 , 2
87 , 1
88 , 1
89 , 1
90 , 1
91 , 2
92 , 2
93 , 5
95 , 2
97 , 3
99 , 1
100 , 2
102 , 3
103 , 2
104 , 1
106 , 1
107 , 3
108 , 1
109 , 2
113 , 1
114 , 1
116 , 1
117 , 1
118 , 2
121 , 2
123 , 1
126 , 2
129 , 2
132 , 1
133 , 1
140 , 1
142 , 1
146 , 2
151 , 1
152 , 1
157 , 1
159 , 1
160 , 1
162 , 1
163 , 1
166 , 1
168 , 2
172 , 2
175 , 1
179 , 2
180 , 1
183 , 1
186 , 1
188 , 3
189 , 1
193 , 1
195 , 1
197 , 1
198 , 1
201 , 1
203 , 1
204 , 2
207 , 1
209 , 1
212 , 1
216 , 1
218 , 1
220 , 1
221 , 1
223 , 1
225 , 1
226 , 1
227 , 1
228 , 1
230 , 1
232 , 1
233 , 2
236 , 1
239 , 2
246 , 1
247 , 1
252 , 2
256 , 1
258 , 1
261 , 1
262 , 1
263 , 1
266 , 1
267 , 1
273 , 2
274 , 1
275 , 1
277 , 1
280 , 2
286 , 1
288 , 1
290 , 2
291 , 1
297 , 1
298 , 1
300 , 2
304 , 1
305 , 1
306 , 1
308 , 1
311 , 1
316 , 1
317 , 1
318 , 1
319 , 2
320 , 2
321 , 1
322 , 1
323 , 1
324 , 1
325 , 1
326 , 1
327 , 2
328 , 2
332 , 1
334 , 1
337 , 2
339 , 1
342 , 1
344 , 1
346 , 1
352 , 1
355 , 1
356 , 1
358 , 1
360 , 1
362 , 1
364 , 1
365 , 1
367 , 1
371 , 1
373 , 1
375 , 1
376 , 1
378 , 2
381 , 1
384 , 1
385 , 1
386 , 1
387 , 3
391 , 1
394 , 1
399 , 2
408 , 1
413 , 2
414 , 1
417 , 1
418 , 1
419 , 2
421 , 1
422 , 1
427 , 2
431 , 1
432 , 1
433 , 1
437 , 1
440 , 2
444 , 1
446 , 1
447 , 1
449 , 2
450 , 1
452 , 1
453 , 1
455 , 1
456 , 1
457 , 3
458 , 1
459 , 1
460 , 2
461 , 1
462 , 1
463 , 2
465 , 1
466 , 1
467 , 1
471 , 1
473 , 1
477 , 1
479 , 1
482 , 2
483 , 1
484 , 1
485 , 1
487 , 1
491 , 1
493 , 1
498 , 1
503 , 1
505 , 1
506 , 2
507 , 2
511 , 1
512 , 1
514 , 1
516 , 1
517 , 1
518 , 2
520 , 1
523 , 1
526 , 2
528 , 1
530 , 1
532 , 1
536 , 1
537 , 1
538 , 1
539 , 1
543 , 1
546 , 1
550 , 1
