No_E_R1,count
1 , 33803
2 , 15570
3 , 6658
4 , 2895
5 , 1277
6 , 677
7 , 340
8 , 217
9 , 151
10 , 95
11 , 67
12 , 48
13 , 51
14 , 40
15 , 42
16 , 37
17 , 22
18 , 19
19 , 18
20 , 15
21 , 12
22 , 14
23 , 13
24 , 12
25 , 12
26 , 3
27 , 14
28 , 7
29 , 7
30 , 9
31 , 6
32 , 10
33 , 9
34 , 5
35 , 6
36 , 6
37 , 3
38 , 8
39 , 6
40 , 5
41 , 4
42 , 8
43 , 4
44 , 2
45 , 4
46 , 2
47 , 5
48 , 4
50 , 3
51 , 3
52 , 7
53 , 2
54 , 4
55 , 1
56 , 3
57 , 2
58 , 3
59 , 4
62 , 4
63 , 2
64 , 2
65 , 4
66 , 2
67 , 2
68 , 1
69 , 4
70 , 1
71 , 1
72 , 1
73 , 1
74 , 2
77 , 1
78 , 4
80 , 1
81 , 1
82 , 1
83 , 1
84 , 2
85 , 1
86 , 1
89 , 1
92 , 4
93 , 1
94 , 1
95 , 1
96 , 2
97 , 1
98 , 1
100 , 2
101 , 2
102 , 1
103 , 1
105 , 1
106 , 1
107 , 2
108 , 1
112 , 1
113 , 1
117 , 1
118 , 2
120 , 1
121 , 1
124 , 1
125 , 2
127 , 1
129 , 1
131 , 1
132 , 1
139 , 1
146 , 2
148 , 1
151 , 1
153 , 1
159 , 2
164 , 2
165 , 1
166 , 1
171 , 1
172 , 1
174 , 1
177 , 1
178 , 2
181 , 1
184 , 2
185 , 1
186 , 1
188 , 1
190 , 1
194 , 1
195 , 1
199 , 1
201 , 1
202 , 1
203 , 1
207 , 2
212 , 1
214 , 1
220 , 1
222 , 1
223 , 2
224 , 1
225 , 1
227 , 1
228 , 1
231 , 1
232 , 1
234 , 1
238 , 1
242 , 1
245 , 1
249 , 2
255 , 1
256 , 1
257 , 1
259 , 1
263 , 1
265 , 2
269 , 1
270 , 2
274 , 2
277 , 1
280 , 1
284 , 2
285 , 1
287 , 1
288 , 2
295 , 1
297 , 1
298 , 1
300 , 2
305 , 2
309 , 1
310 , 1
313 , 1
314 , 1
316 , 1
317 , 2
318 , 1
319 , 2
320 , 2
324 , 2
326 , 2
327 , 1
328 , 1
333 , 2
335 , 3
337 , 1
343 , 1
349 , 1
351 , 1
353 , 1
354 , 1
356 , 2
357 , 1
361 , 1
365 , 1
367 , 1
369 , 2
372 , 1
374 , 1
375 , 2
381 , 1
382 , 1
384 , 2
387 , 1
390 , 1
391 , 1
395 , 1
397 , 1
405 , 1
406 , 1
407 , 1
412 , 2
415 , 1
416 , 1
417 , 1
418 , 1
419 , 1
420 , 1
422 , 1
426 , 1
428 , 1
430 , 1
432 , 1
435 , 1
439 , 2
441 , 1
442 , 1
447 , 1
448 , 3
450 , 2
451 , 2
453 , 1
454 , 2
455 , 1
456 , 2
458 , 1
459 , 1
461 , 1
463 , 3
464 , 1
468 , 1
473 , 1
477 , 2
478 , 1
479 , 1
480 , 1
481 , 1
482 , 1
485 , 1
491 , 1
495 , 1
