sample_name,on_target_locus_reads,off_target_locus_reads,problem_locus_reads,on_target_locus_percent,off_target_locus_percent,problem_locus_percent
D103_10uM_R1,346870,50579,1453,0.8695619475460138,0.12679555379516774,0.0036424986588184565
D103_10uM_R2,408263,105482,2268,0.7911874313244046,0.204417330571129,0.00439523810446636
No_E_R1,424122,70494,2312,0.8534878292227446,0.14185958529203427,0.004652585485221199
No_E_R2,352868,77487,1737,0.816650157836757,0.179329864936171,0.004019977227072012
noINH_DMSO_R1,413411,204648,2358,0.6663437655641287,0.3298555648861975,0.0038006695496738485
noINH_DMSO_R2,477279,194096,2271,0.7085012009274901,0.2881275922368722,0.0033712068356377086
