sample_name,count_readthrough,count_readthrough_percent,count_non_readthrough,p_count_non_readthrough_percent
D103_10uM_R1,272918,73952,0.7868017450913181,0.21319796661632123
D103_10uM_R2,305241,103022,0.7476575766950283,0.2523421783648829
No_E_R1,414345,9777,0.9769474403715346,0.02305232384730718
No_E_R2,343958,8910,0.9747494885482707,0.025250228059719767
noINH_DMSO_R1,350810,62601,0.8485742158350369,0.15142554227498972
noINH_DMSO_R2,394049,83230,0.8256154522584375,0.17438433822055063
