repeat_length,D103_10uM_R1,D103_10uM_R2,No_E_R1,No_E_R2,noINH_DMSO_R1,noINH_DMSO_R2
0,5.0,8.0,0.0,1.0,4.0,17.0
3,7.0,6.0,0.0,0.0,14.0,6.0
6,5.0,11.0,0.0,4.0,9.0,2.0
9,23.0,22.0,4.0,7.0,33.0,5.0
12,3.0,13.0,3.0,4.0,8.0,4.0
15,8.0,9.0,0.0,0.0,10.0,19.0
18,43.0,18.0,0.0,2.0,29.0,21.0
21,58.0,19.0,0.0,0.0,17.0,32.0
24,15.0,43.0,3.0,2.0,25.0,20.0
27,32.0,27.0,2.0,0.0,33.0,35.0
30,71.0,54.0,0.0,0.0,65.0,39.0
33,55.0,64.0,0.0,1.0,53.0,70.0
36,13.0,76.0,0.0,0.0,31.0,22.0
39,7.0,47.0,0.0,0.0,20.0,33.0
42,5.0,32.0,0.0,0.0,20.0,38.0
45,9.0,18.0,0.0,0.0,0.0,21.0
48,6.0,36.0,3.0,2.0,2.0,37.0
51,0.0,44.0,4.0,7.0,9.0,24.0
54,2.0,84.0,28.0,18.0,46.0,37.0
57,43.0,216.0,690.0,364.0,214.0,74.0
60,2.0,14.0,1.0,2.0,1.0,25.0
63,16.0,3.0,0.0,0.0,13.0,4.0
66,0.0,3.0,0.0,0.0,12.0,2.0
69,0.0,1.0,0.0,0.0,0.0,0.0
72,0.0,1.0,0.0,0.0,1.0,0.0
75,0.0,0.0,0.0,1.0,0.0,6.0
78,0.0,3.0,0.0,0.0,0.0,2.0
81,0.0,1.0,0.0,1.0,1.0,8.0
84,0.0,2.0,0.0,0.0,2.0,2.0
87,1.0,0.0,0.0,0.0,0.0,1.0
90,6.0,0.0,0.0,0.0,0.0,5.0
93,0.0,1.0,0.0,0.0,1.0,0.0
96,1.0,0.0,0.0,0.0,2.0,0.0
99,0.0,2.0,0.0,0.0,0.0,1.0
102,0.0,1.0,0.0,0.0,0.0,0.0
105,0.0,1.0,1.0,0.0,0.0,0.0
108,0.0,2.0,0.0,0.0,9.0,0.0
111,0.0,2.0,0.0,2.0,2.0,0.0
114,0.0,0.0,0.0,0.0,2.0,1.0
120,0.0,1.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,1.0,2.0
126,0.0,1.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,1.0,0.0,2.0
132,1.0,0.0,0.0,0.0,1.0,2.0
135,15.0,6.0,1.0,0.0,1.0,2.0
138,32.0,13.0,5.0,1.0,2.0,2.0
141,10.0,20.0,10.0,5.0,8.0,10.0
144,3.0,24.0,55.0,35.0,19.0,4.0
147,15.0,11.0,329.0,242.0,11.0,3.0
150,7.0,2.0,48.0,28.0,0.0,0.0
156,0.0,1.0,0.0,0.0,0.0,0.0
162,0.0,1.0,0.0,0.0,0.0,0.0
168,0.0,1.0,0.0,0.0,1.0,0.0
171,0.0,0.0,0.0,0.0,0.0,3.0
174,1.0,1.0,0.0,0.0,0.0,0.0
180,1.0,2.0,0.0,0.0,0.0,0.0
183,0.0,1.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,1.0,0.0
216,1.0,0.0,0.0,0.0,0.0,0.0
222,1.0,0.0,0.0,0.0,0.0,0.0
225,1.0,0.0,0.0,0.0,0.0,0.0
228,1.0,0.0,0.0,0.0,0.0,0.0
231,1.0,0.0,0.0,0.0,0.0,0.0
246,1.0,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,1.0,0.0
