repeat_length,D103_10uM_R1,D103_10uM_R2,No_E_R1,No_E_R2,noINH_DMSO_R1,noINH_DMSO_R2
405,40,1.0,0.0,0.0,12,0.0
408,31,0.0,0.0,0.0,10,1.0
411,28,2.0,3.0,0.0,15,1.0
414,36,1.0,0.0,0.0,8,1.0
417,25,2.0,1.0,2.0,11,2.0
420,29,0.0,0.0,1.0,7,0.0
423,28,1.0,0.0,0.0,13,0.0
426,41,0.0,1.0,0.0,7,0.0
429,31,0.0,0.0,0.0,7,2.0
432,32,0.0,0.0,0.0,9,0.0
435,33,0.0,1.0,0.0,11,0.0
438,21,2.0,0.0,1.0,7,1.0
441,42,2.0,1.0,0.0,6,0.0
444,34,0.0,1.0,0.0,10,2.0
447,34,0.0,0.0,0.0,10,0.0
450,19,3.0,4.0,4.0,13,0.0
