repeat_length,D103_10uM_R1,D103_10uM_R2,No_E_R1,No_E_R2,noINH_DMSO_R1,noINH_DMSO_R2
0,260,291.0,2.0,54.0,153.0,932.0
3,359,269.0,0.0,1.0,526.0,372.0
6,327,436.0,0.0,201.0,585.0,117.0
9,2184,1045.0,141.0,589.0,1877.0,354.0
12,267,356.0,239.0,269.0,855.0,316.0
15,496,241.0,0.0,81.0,673.0,1237.0
18,3876,1016.0,0.0,125.0,2591.0,1628.0
21,4381,949.0,3.0,4.0,688.0,2420.0
24,1308,2023.0,93.0,173.0,2305.0,2185.0
27,3117,1463.0,164.0,7.0,2778.0,2967.0
30,5778,3262.0,4.0,18.0,5748.0,3677.0
33,4790,2943.0,12.0,146.0,3545.0,4119.0
36,1578,2699.0,4.0,10.0,2189.0,844.0
39,387,1322.0,10.0,16.0,1847.0,2297.0
42,670,785.0,6.0,25.0,1701.0,2345.0
45,796,448.0,24.0,29.0,49.0,2510.0
48,1118,1310.0,164.0,122.0,142.0,2851.0
51,114,1688.0,820.0,722.0,941.0,1983.0
54,815,4459.0,5060.0,3678.0,7115.0,3463.0
57,4134,10869.0,34343.0,20878.0,20307.0,7172.0
60,333,896.0,488.0,344.0,561.0,1889.0
63,1047,404.0,23.0,33.0,1716.0,575.0
66,14,133.0,5.0,24.0,657.0,453.0
69,5,159.0,22.0,32.0,14.0,32.0
72,14,33.0,12.0,61.0,40.0,133.0
75,17,83.0,9.0,143.0,13.0,450.0
78,10,155.0,15.0,26.0,34.0,280.0
81,16,59.0,19.0,40.0,141.0,467.0
84,23,56.0,20.0,31.0,469.0,125.0
87,105,17.0,27.0,26.0,12.0,85.0
90,590,24.0,19.0,33.0,19.0,239.0
93,26,37.0,28.0,55.0,34.0,229.0
96,26,44.0,31.0,43.0,77.0,28.0
99,19,90.0,39.0,44.0,16.0,48.0
102,23,93.0,37.0,57.0,147.0,13.0
105,22,24.0,36.0,69.0,47.0,14.0
108,16,40.0,40.0,91.0,776.0,19.0
111,23,66.0,22.0,121.0,190.0,21.0
114,15,50.0,38.0,51.0,327.0,17.0
117,22,27.0,40.0,40.0,26.0,27.0
120,27,26.0,45.0,42.0,13.0,45.0
123,54,32.0,43.0,42.0,14.0,60.0
126,129,63.0,38.0,64.0,21.0,132.0
129,303,111.0,55.0,71.0,18.0,125.0
132,747,140.0,78.0,71.0,24.0,72.0
135,1698,208.0,196.0,106.0,70.0,115.0
138,2778,374.0,531.0,278.0,159.0,155.0
141,2569,475.0,1467.0,858.0,485.0,329.0
144,599,738.0,3602.0,2306.0,822.0,364.0
147,1035,850.0,6953.0,5375.0,1053.0,322.0
150,977,440.0,6658.0,6170.0,339.0,293.0
153,266,124.0,846.0,593.0,20.0,80.0
156,22,12.0,42.0,33.0,1.0,44.0
159,22,10.0,13.0,18.0,1.0,9.0
162,12,19.0,5.0,12.0,3.0,3.0
165,17,34.0,55.0,35.0,9.0,3.0
168,13,17.0,12.0,18.0,8.0,12.0
171,12,13.0,10.0,9.0,4.0,19.0
174,7,14.0,4.0,3.0,3.0,40.0
177,12,16.0,6.0,7.0,2.0,43.0
180,10,14.0,6.0,5.0,1.0,7.0
183,6,12.0,5.0,3.0,2.0,4.0
186,11,12.0,3.0,0.0,2.0,3.0
189,6,7.0,3.0,3.0,1.0,2.0
192,10,11.0,3.0,4.0,3.0,0.0
195,6,8.0,1.0,0.0,3.0,1.0
198,1,5.0,0.0,1.0,2.0,0.0
201,6,3.0,2.0,0.0,2.0,0.0
204,9,0.0,1.0,1.0,4.0,0.0
207,3,3.0,0.0,0.0,2.0,0.0
210,7,0.0,1.0,0.0,3.0,0.0
213,9,0.0,0.0,0.0,1.0,0.0
216,6,1.0,1.0,0.0,2.0,0.0
219,9,1.0,0.0,1.0,0.0,0.0
222,8,0.0,2.0,0.0,0.0,0.0
225,8,0.0,0.0,0.0,2.0,0.0
228,4,0.0,0.0,0.0,1.0,0.0
231,5,0.0,0.0,0.0,1.0,0.0
234,9,1.0,0.0,0.0,2.0,0.0
237,7,0.0,0.0,0.0,0.0,0.0
240,2,0.0,1.0,0.0,0.0,0.0
243,6,0.0,1.0,0.0,1.0,0.0
246,7,0.0,0.0,1.0,6.0,0.0
249,8,0.0,0.0,0.0,2.0,0.0
252,11,1.0,0.0,0.0,2.0,0.0
255,7,0.0,0.0,0.0,0.0,1.0
258,11,0.0,0.0,0.0,1.0,0.0
261,5,2.0,0.0,1.0,3.0,0.0
264,10,0.0,0.0,0.0,1.0,0.0
267,5,0.0,0.0,0.0,0.0,0.0
270,11,1.0,0.0,0.0,3.0,0.0
