repeat_length,D103_10uM_R1,D103_10uM_R2,No_E_R1,No_E_R2,noINH_DMSO_R1,noINH_DMSO_R2
0,9.0,14.0,0.0,1.0,7.0,30.0
3,12.0,11.0,0.0,0.0,28.0,9.0
6,8.0,12.0,0.0,8.0,24.0,3.0
9,48.0,31.0,5.0,12.0,71.0,7.0
12,10.0,15.0,4.0,5.0,23.0,9.0
15,19.0,13.0,0.0,1.0,32.0,37.0
18,134.0,31.0,0.0,4.0,87.0,42.0
21,168.0,26.0,0.0,0.0,40.0,76.0
24,60.0,71.0,5.0,4.0,116.0,70.0
27,138.0,53.0,7.0,0.0,150.0,100.0
30,302.0,119.0,0.0,0.0,336.0,148.0
33,237.0,127.0,0.0,3.0,250.0,198.0
36,58.0,132.0,0.0,0.0,167.0,50.0
39,20.0,87.0,0.0,0.0,109.0,112.0
42,29.0,50.0,0.0,0.0,117.0,119.0
45,37.0,27.0,0.0,0.0,1.0,89.0
48,47.0,66.0,5.0,2.0,7.0,128.0
51,1.0,66.0,8.0,10.0,62.0,72.0
54,24.0,184.0,108.0,46.0,421.0,126.0
57,162.0,387.0,2625.0,872.0,995.0,182.0
60,5.0,28.0,22.0,10.0,16.0,51.0
63,40.0,6.0,2.0,0.0,41.0,9.0
66,1.0,4.0,0.0,1.0,22.0,4.0
69,0.0,2.0,1.0,1.0,0.0,1.0
72,0.0,2.0,2.0,0.0,1.0,2.0
75,0.0,2.0,0.0,3.0,1.0,9.0
78,0.0,5.0,0.0,0.0,1.0,3.0
81,0.0,2.0,1.0,2.0,6.0,11.0
84,0.0,3.0,0.0,1.0,11.0,4.0
87,4.0,0.0,0.0,1.0,0.0,2.0
90,20.0,0.0,1.0,0.0,0.0,7.0
93,0.0,2.0,0.0,0.0,1.0,3.0
96,1.0,0.0,2.0,1.0,4.0,0.0
99,0.0,4.0,2.0,1.0,0.0,1.0
102,1.0,1.0,0.0,0.0,3.0,0.0
105,1.0,1.0,2.0,1.0,2.0,0.0
108,0.0,4.0,2.0,5.0,21.0,0.0
111,0.0,2.0,0.0,6.0,5.0,1.0
114,0.0,1.0,4.0,0.0,5.0,1.0
117,0.0,1.0,0.0,1.0,0.0,0.0
120,0.0,1.0,2.0,2.0,1.0,1.0
123,0.0,0.0,6.0,0.0,1.0,2.0
126,3.0,4.0,0.0,0.0,0.0,1.0
129,2.0,2.0,3.0,1.0,1.0,3.0
132,16.0,2.0,6.0,1.0,1.0,2.0
135,45.0,10.0,6.0,2.0,3.0,3.0
138,84.0,18.0,32.0,5.0,7.0,3.0
141,44.0,22.0,80.0,25.0,13.0,11.0
144,6.0,35.0,203.0,95.0,29.0,4.0
147,29.0,16.0,580.0,352.0,18.0,6.0
150,13.0,2.0,122.0,77.0,2.0,1.0
153,1.0,1.0,1.0,0.0,0.0,0.0
156,0.0,1.0,0.0,0.0,0.0,0.0
162,1.0,1.0,0.0,0.0,0.0,0.0
168,0.0,1.0,0.0,0.0,2.0,0.0
171,0.0,0.0,0.0,0.0,0.0,3.0
174,1.0,1.0,0.0,0.0,0.0,1.0
177,0.0,1.0,0.0,0.0,0.0,1.0
180,1.0,2.0,0.0,0.0,0.0,0.0
183,1.0,1.0,0.0,0.0,0.0,0.0
189,1.0,0.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,1.0,0.0
195,0.0,1.0,0.0,0.0,0.0,0.0
216,1.0,0.0,0.0,0.0,0.0,0.0
222,1.0,0.0,0.0,0.0,0.0,0.0
225,1.0,0.0,0.0,0.0,0.0,0.0
228,1.0,0.0,0.0,0.0,0.0,0.0
231,2.0,0.0,0.0,0.0,0.0,0.0
246,1.0,0.0,0.0,0.0,0.0,0.0
276,1.0,0.0,0.0,0.0,0.0,0.0
282,0.0,0.0,0.0,0.0,1.0,0.0
309,1.0,0.0,0.0,0.0,0.0,0.0
