repeat_length,D103_10uM_R1,D103_10uM_R2,No_E_R1,No_E_R2,noINH_DMSO_R1,noINH_DMSO_R2
0,1.0,6.0,0.0,1.0,3.0,9.0
3,4.0,6.0,0.0,0.0,6.0,4.0
6,2.0,9.0,0.0,2.0,3.0,1.0
9,10.0,14.0,2.0,5.0,11.0,3.0
12,2.0,10.0,1.0,4.0,4.0,3.0
15,3.0,6.0,0.0,0.0,4.0,12.0
18,17.0,11.0,0.0,2.0,15.0,13.0
21,18.0,10.0,0.0,0.0,8.0,19.0
24,6.0,23.0,1.0,1.0,12.0,13.0
27,11.0,16.0,1.0,0.0,12.0,18.0
30,26.0,33.0,0.0,0.0,21.0,19.0
33,24.0,32.0,0.0,1.0,19.0,53.0
36,7.0,50.0,0.0,0.0,12.0,14.0
39,5.0,35.0,0.0,0.0,9.0,24.0
42,1.0,24.0,0.0,0.0,13.0,18.0
45,3.0,14.0,0.0,0.0,0.0,13.0
48,1.0,27.0,0.0,0.0,1.0,24.0
51,0.0,30.0,2.0,2.0,3.0,9.0
54,0.0,50.0,10.0,10.0,11.0,15.0
57,18.0,144.0,352.0,220.0,74.0,38.0
60,1.0,9.0,0.0,1.0,0.0,13.0
63,3.0,3.0,0.0,0.0,6.0,4.0
66,0.0,3.0,0.0,0.0,5.0,1.0
69,0.0,1.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,1.0,0.0,2.0
78,0.0,3.0,0.0,0.0,0.0,1.0
81,0.0,1.0,0.0,0.0,1.0,5.0
84,0.0,1.0,0.0,0.0,1.0,2.0
90,3.0,0.0,0.0,0.0,0.0,4.0
93,0.0,1.0,0.0,0.0,1.0,0.0
96,1.0,0.0,0.0,0.0,1.0,0.0
99,0.0,2.0,0.0,0.0,0.0,1.0
108,0.0,1.0,0.0,0.0,4.0,0.0
111,0.0,2.0,0.0,1.0,1.0,0.0
114,0.0,0.0,0.0,0.0,1.0,0.0
120,0.0,1.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,1.0,1.0
126,0.0,1.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,1.0,0.0,2.0
132,0.0,0.0,0.0,0.0,0.0,1.0
135,3.0,4.0,0.0,0.0,0.0,1.0
138,11.0,10.0,0.0,0.0,0.0,1.0
141,1.0,19.0,4.0,0.0,0.0,7.0
144,0.0,19.0,24.0,18.0,7.0,4.0
147,6.0,9.0,223.0,190.0,3.0,3.0
150,6.0,2.0,19.0,11.0,0.0,0.0
156,0.0,1.0,0.0,0.0,0.0,0.0
162,0.0,1.0,0.0,0.0,0.0,0.0
168,0.0,1.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,2.0
174,0.0,1.0,0.0,0.0,0.0,0.0
183,0.0,1.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,1.0,0.0
222,1.0,0.0,0.0,0.0,0.0,0.0
225,1.0,0.0,0.0,0.0,0.0,0.0
228,1.0,0.0,0.0,0.0,0.0,0.0
