repeat_length,D103_10uM_R1,D103_10uM_R2,No_E_R1,No_E_R2,noINH_DMSO_R1,noINH_DMSO_R2
0,1.0,5.0,0.0,1.0,2.0,8.0
3,1.0,5.0,0.0,0.0,3.0,4.0
6,1.0,8.0,0.0,2.0,2.0,1.0
9,6.0,13.0,2.0,3.0,7.0,3.0
12,1.0,6.0,1.0,2.0,2.0,2.0
15,3.0,4.0,0.0,0.0,3.0,9.0
18,11.0,10.0,0.0,2.0,8.0,9.0
21,9.0,7.0,0.0,0.0,3.0,14.0
24,5.0,17.0,1.0,1.0,4.0,10.0
27,6.0,13.0,1.0,0.0,6.0,14.0
30,13.0,24.0,0.0,0.0,9.0,13.0
33,11.0,20.0,0.0,1.0,14.0,39.0
36,2.0,24.0,0.0,0.0,5.0,9.0
39,3.0,24.0,0.0,0.0,5.0,12.0
42,1.0,15.0,0.0,0.0,6.0,14.0
45,1.0,8.0,0.0,0.0,0.0,10.0
48,1.0,18.0,0.0,0.0,1.0,20.0
51,0.0,15.0,2.0,2.0,1.0,6.0
54,0.0,30.0,2.0,5.0,4.0,11.0
57,6.0,114.0,246.0,170.0,40.0,29.0
60,1.0,6.0,0.0,1.0,0.0,10.0
63,2.0,3.0,0.0,0.0,2.0,3.0
66,0.0,2.0,0.0,0.0,3.0,1.0
69,0.0,1.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,1.0,0.0,2.0
78,0.0,2.0,0.0,0.0,0.0,1.0
81,0.0,0.0,0.0,0.0,1.0,3.0
84,0.0,1.0,0.0,0.0,1.0,1.0
90,2.0,0.0,0.0,0.0,0.0,3.0
93,0.0,0.0,0.0,0.0,1.0,0.0
96,0.0,0.0,0.0,0.0,1.0,0.0
99,0.0,2.0,0.0,0.0,0.0,1.0
108,0.0,1.0,0.0,0.0,2.0,0.0
111,0.0,2.0,0.0,1.0,0.0,0.0
114,0.0,0.0,0.0,0.0,1.0,0.0
123,0.0,0.0,0.0,0.0,0.0,1.0
126,0.0,1.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,1.0,0.0,1.0
135,3.0,4.0,0.0,0.0,0.0,1.0
138,6.0,7.0,0.0,0.0,0.0,1.0
141,0.0,14.0,4.0,0.0,0.0,3.0
144,0.0,13.0,11.0,10.0,4.0,4.0
147,5.0,8.0,168.0,161.0,3.0,2.0
150,3.0,1.0,11.0,9.0,0.0,0.0
156,0.0,1.0,0.0,0.0,0.0,0.0
162,0.0,1.0,0.0,0.0,0.0,0.0
168,0.0,1.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,1.0
174,0.0,1.0,0.0,0.0,0.0,0.0
183,0.0,1.0,0.0,0.0,0.0,0.0
192,0.0,0.0,0.0,0.0,1.0,0.0
222,1.0,0.0,0.0,0.0,0.0,0.0
225,1.0,0.0,0.0,0.0,0.0,0.0
