repeat_length,count
0,2468
3,2668
6,3813
9,8585
12,2671
15,1942
18,8199
21,7968
24,15941
27,11343
30,24290
33,21043
36,17541
39,8398
42,4679
45,2857
48,8744
51,11440
54,29582
57,68914
60,5359
63,2599
66,921
69,1146
72,284
75,554
78,1013
81,302
84,318
87,125
90,137
93,188
96,261
99,545
102,497
105,204
108,322
111,490
114,292
117,141
120,171
123,223
126,393
129,709
132,820
135,1365
138,2508
141,3262
144,5137
147,5879
150,3226
153,1058
156,87
159,92
162,169
165,322
168,160
171,52
174,98
177,138
180,67
183,49
186,83
189,83
192,79
195,64
198,32
201,13
204,4
207,8
210,3
213,1
216,2
219,1
234,1
240,1
246,2
252,1
261,5
264,2
267,1
270,2
273,1
279,1
282,1
291,2
294,1
300,1
306,2
309,2
315,2
321,1
324,1
327,1
333,1
336,1
339,2
345,1
348,1
351,1
354,1
357,1
360,1
363,1
369,1
387,2
390,2
396,1
399,2
402,1
405,1
411,2
414,1
417,2
423,1
438,2
441,2
450,3
